"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
9,4.2,0.4,-2.2,1.4,5.2,-62.7,-26.4,-3
9,4.2,0.4,-0.1,0.8,3.4,-63.8,-27.2,-3.5
9,4.3,0.4,0.4,0.4,2.4,-63.8,-27.2,-3.5
9,4.3,0.4,-1,-0.5,0.9,-62.7,-26.2,-4.4
8.9,4.2,0.4,-2.2,-1.4,0.4,-62.7,-26.2,-4.4
9,4.2,0.4,-1.4,-1.1,-0.3,-63.1,-27.2,-3.4
9,4.2,0.4,-1.1,-0.8,-0.3,-63.1,-27.2,-3.4
9,4.1,0.4,-0.9,-1.4,-0.9,-63.1,-26.5,-4.2
9,4.2,0.4,0.4,-0.8,-1.3,-63.1,-26.5,-4.2
9,4.1,0.4,-1.2,-2.1,-1.3,-63.8,-26.1,-3.4
9.1,4.1,0.4,-1.7,-1.9,-1.1,-63.8,-26.1,-3.4
9,4.1,0.5,-1.7,-2.3,-0.8,-63.4,-25.8,-3.7
9.1,4,0.4,-1.5,-2.9,-1.6,-63.4,-25.8,-3.7
9,4,0.5,-0.6,-1.8,-1.1,-63.2,-27,-3.8
9,4.1,0.6,-1.4,-2,-0.7,-63.2,-27,-3.8
9,4.1,0.6,-3,-1.8,-0.8,-63.4,-27,-4.2
9,4,0.5,-2.3,-1.6,-0.8,-63.4,-27,-4.2
9.1,4,0.5,-0.3,-0.8,-0.1,-64.1,-27.1,-4.4
9,4.1,0.6,-1.1,0,0.6,-64.1,-27.1,-4.4
9,4.1,0.6,-3.2,-1.2,0.6,-63,-27.2,-3.6
9.1,3.9,0.5,-3.9,-1.6,0.7,-63,-27.2,-3.6
9,4,0.5,-2.2,-0.4,0.7,-63.4,-26.2,-4
9,4,0.5,-1.5,0.5,0.6,-63.4,-26.2,-4
9,4,0.5,-0.9,0.2,0.2,-63.4,-26.4,-3.2
9.1,3.9,0.5,0.8,1,0.1,-63.4,-26.4,-3.2
9,4.1,0.5,2.3,1.2,0.2,-63.4,-26.8,-4.5
9.1,4.1,0.5,0.1,-0.1,0.8,-63.4,-26.8,-4.5
9,4,0.5,0.5,0.6,0.8,-63.7,-26.8,-3.8
9,4.1,0.5,1.5,1.2,0.4,-63.7,-26.8,-3.8
9,4,0.5,1.2,1.3,0.2,-63,-26.8,-4.1
9,4,0.5,1.4,1.3,0.3,-63,-26.8,-4.1
9,4.1,0.5,1.1,1.4,0.8,-62.6,-26.8,-4.6
9,4.1,0.4,-0.2,0.8,1.4,-62.6,-26.8,-4.6
9.1,4,0.3,-0.1,0.3,1,-63,-27.6,-3.2
8.9,4,0.4,0.7,1,1.1,-63,-27.6,-3.2
8.9,4.1,0.4,0.6,0.2,0.6,-63.2,-27.6,-3.7
9,4.1,0.5,0.1,-0.2,0.4,-63.2,-27.6,-3.7
9,4.1,0.4,0.4,0,0.6,-63,-26.4,-3.7
9.1,4.1,0.4,0.8,0,0.6,-63,-26.4,-3.7
9.1,4,0.4,0.5,0.1,0.6,-63,-26.4,-2.8
9.1,4.1,0.5,0.7,-0.3,0.6,-63,-26.4,-2.8
9.1,4.1,0.5,0.2,-0.4,0.8,-62.6,-26.8,-5.2
9,4.1,0.5,-1.1,-0.6,1.3,-62.6,-26.8,-5.2
9,4.1,0.5,-1.6,-0.5,1.7,-64,-26.4,-4.8
9.1,4.1,0.5,-1.8,-0.2,1.8,-64,-26.4,-4.8
9,4.1,0.5,-0.5,0.9,1.4,-63.2,-27.2,-2.8
8.9,4.1,0.6,-0.6,0.3,1.1,-63.2,-27.2,-2.8
9,4.2,0.6,-4.2,-1.6,0.5,-64,-26.1,-3.7
